Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T15:26:12,2021-05-31T15:42:03,043,Karhupuisto,113,Pasilan asema,2813,946
2021-05-31T15:26:04,2021-05-31T15:29:56,900,Orionintie,573,Urheilupuisto (M),878,233
2021-05-31T15:25:55,2021-05-31T15:36:11,132,Hollolantie,142,Koskelantie,1602,613
2021-05-31T15:25:53,2021-05-31T15:33:36,010,Kasarmitori,025,Narinkka,1223,458
2021-05-31T15:25:48,2021-05-31T15:42:22,040,Hakaniemi (M),028,Lastenlehto,2783,990
2021-05-31T15:25:48,2021-05-31T15:30:27,214,Valimon asema,209,Takomotie,785,278
2021-05-31T15:25:33,2021-05-31T15:49:08,218,Pohjois-Haagan asema,094,Laajalahden aukio,4538,1415
2021-05-31T15:25:30,2021-05-31T15:25:40,113,Pasilan asema,113,Pasilan asema,0,9
2021-05-31T15:25:30,2021-05-31T15:26:32,553,Metsänneidonpolku,553,Metsänneidonpolku,3,61
2021-05-31T15:25:23,2021-05-31T15:41:31,082,Töölöntulli,118,Fleminginkatu,2472,965
2021-05-31T15:25:23,2021-05-31T15:30:49,121,Vilhonvuorenkatu,125,Arielinkatu,767,324
2021-05-31T15:25:21,2021-05-31T15:45:49,305,Kalkkihiekantie,274,Voikukantie,3974,1227
2021-05-31T15:25:18,2021-05-31T15:46:26,094,Laajalahden aukio,113,Pasilan asema,3404,1263
2021-05-31T15:25:05,2021-05-31T15:41:10,113,Pasilan asema,126,Kalasatama (M),2991,960
2021-05-31T15:25:02,2021-05-31T15:34:36,022,Rautatientori / länsi,080,Jäähalli,2601,526
2021-05-31T15:24:52,2021-05-31T15:30:53,029,Baana,020,Kaisaniemenpuisto,2121,358
2021-05-31T15:24:45,2021-05-31T15:35:12,076,Olympiastadion,024,Mannerheimintie,1925,624
2021-05-31T15:24:41,2021-05-31T15:38:00,077,Nordenskiöldinaukio,113,Pasilan asema,2099,794
2021-05-31T15:24:40,2021-05-31T15:40:54,117,Brahen puistikko,029,Baana,3771,968
2021-05-31T15:24:34,2021-05-31T15:26:47,306,Kauppakeskus Columbus,303,Leikosaarentie,455,128
2021-05-31T15:24:33,2021-05-31T15:30:46,635,Kuunkatu,627,Piispansilta,1527,357
2021-05-31T15:24:28,2021-05-31T15:32:27,069,Kalevankatu,030,Itämerentori,1053,475
2021-05-31T15:24:24,2021-05-31T15:35:52,040,Hakaniemi (M),161,Eteläesplanadi,1437,646
2021-05-31T15:24:20,2021-05-31T15:33:10,076,Olympiastadion,023,Kiasma,1684,523
2021-05-31T15:24:20,2021-05-31T15:34:09,009,Erottajan aukio,123,Näkinsilta,2260,585
2021-05-31T15:24:16,2021-05-31T15:41:26,084,Paciuksenkatu,026,Kamppi (M),3675,1024
2021-05-31T15:23:51,2021-05-31T15:42:11,112,Rautatieläisenkatu,044,Sörnäinen (M),2866,1100
2021-05-31T15:23:43,2021-05-31T15:32:56,030,Itämerentori,034,Kansallismuseo,1974,549
2021-05-31T15:23:39,2021-05-31T15:32:20,308,Mosaiikkitori,317,Haapasaarentie,1386,517
2021-05-31T15:23:35,2021-05-31T15:26:31,216,Jännetie,215,Pitäjänmäen asema,449,172
2021-05-31T15:23:33,2021-05-31T15:40:48,122,Lintulahdenkatu,114,Ratapihantie,2820,1030
2021-05-31T15:23:31,2021-05-31T15:34:21,122,Lintulahdenkatu,017,Varsapuistikko,1509,646
2021-05-31T15:23:25,2021-05-31T15:30:16,060,Kaapelitehdas,162,Leppäsuonaukio,1792,406
2021-05-31T15:23:23,2021-05-31T15:35:34,138,Arabiankatu,118,Fleminginkatu,2728,729
2021-05-31T15:23:21,2021-05-31T15:30:40,541,"Aalto-yliopisto (M), Korkeakouluaukio",163,Lehtisaarentie,1745,436
2021-05-31T15:23:14,2021-05-31T15:51:49,138,Arabiankatu,335,Kurkimäentie,6983,1711
2021-05-31T15:23:09,2021-05-31T15:38:23,059,Salmisaarenranta,058,Lauttasaarensilta,2166,910
2021-05-31T15:23:08,2021-05-31T15:29:23,121,Vilhonvuorenkatu,404,Sompasaari,886,370
2021-05-31T15:23:07,2021-05-31T15:27:01,291,Itäkeskus Metrovarikko,275,Itäkeskus (M),863,229
2021-05-31T15:23:05,2021-05-31T15:28:15,116,Linnanmäki,080,Jäähalli,1239,305
2021-05-31T15:23:04,2021-05-31T15:32:18,232,Oulunkylän asema,234,Otto Brandtin tie,1523,549
2021-05-31T15:23:02,2021-05-31T15:35:51,127,Teurastamo,116,Linnanmäki,1917,764
2021-05-31T15:23:01,2021-05-31T15:35:23,078,Messeniuksenkatu,024,Mannerheimintie,2534,739
2021-05-31T15:22:52,2021-05-31T15:43:32,085,Jalavatie,052,Heikkilänaukio,6134,1239
2021-05-31T15:22:52,2021-05-31T15:29:16,113,Pasilan asema,131,Elimäenkatu,1010,380
2021-05-31T15:22:50,2021-05-31T15:26:20,133,Paavalinpuisto,132,Hollolantie,514,205
2021-05-31T15:22:46,2021-05-31T15:29:33,126,Kalasatama (M),122,Lintulahdenkatu,1153,406
2021-05-31T15:22:43,2021-05-31T15:42:25,008,Vanha kirkkopuisto,001,Kaivopuisto,1877,1183
2021-05-31T15:22:31,2021-05-31T15:36:37,117,Brahen puistikko,032,Eläinmuseo,2570,842
2021-05-31T15:22:20,2021-05-31T15:25:25,529,Keilaniemi (M),531,Keilaranta,573,180
2021-05-31T15:22:19,2021-05-31T15:39:27,072,Eteläinen Hesperiankatu,207,Vanha Viertotie,4884,1026
2021-05-31T15:22:18,2021-05-31T15:34:53,008,Vanha kirkkopuisto,076,Olympiastadion,2754,751
2021-05-31T15:22:16,2021-05-31T15:51:25,267,Roihupelto,258,Abraham Wetterin tie,2284,594
2021-05-31T15:22:14,2021-05-31T15:44:25,096,Huopalahdentie,219,Näyttelijäntie,4812,1326
2021-05-31T15:22:06,2021-05-31T15:45:26,133,Paavalinpuisto,226,Lepolantie,6129,1400
2021-05-31T15:22:06,2021-05-31T15:34:46,131,Elimäenkatu,042,Haapaniemenkatu,2266,757
2021-05-31T15:22:02,2021-05-31T15:28:54,245,Kulosaari (M),127,Teurastamo,2253,411
2021-05-31T15:21:49,2021-05-31T15:27:08,113,Pasilan asema,116,Linnanmäki,1121,315
2021-05-31T15:21:39,2021-05-31T15:27:29,008,Vanha kirkkopuisto,012,Kanavaranta,1245,348
2021-05-31T15:21:39,2021-05-31T15:38:16,113,Pasilan asema,224,Vesakkotie,4201,997
2021-05-31T15:21:32,2021-05-31T15:26:04,727,Ratsutori,711,Kirjurinkuja,941,268
2021-05-31T15:21:30,2021-05-31T15:33:08,079,Uimastadion,022,Rautatientori / länsi,2372,694
2021-05-31T15:21:24,2021-05-31T15:44:31,015,Ritarikatu,137,Arabian kauppakeskus,4723,1382
2021-05-31T15:21:18,2021-05-31T15:34:14,045,Brahen kenttä,113,Pasilan asema,1837,772
2021-05-31T15:21:12,2021-05-31T15:40:18,239,Viikin tiedepuisto,141,Intiankatu,3753,1146
2021-05-31T15:21:06,2021-05-31T15:26:32,049,Annankatu,027,Eerikinkatu,579,324
2021-05-31T15:21:01,2021-05-31T15:28:38,064,Tyynenmerenkatu,059,Salmisaarenranta,2035,456
2021-05-31T15:21:01,2021-05-31T15:30:50,113,Pasilan asema,134,Haukilahdenkatu,2474,586
2021-05-31T15:20:53,2021-05-31T15:32:18,021,Töölönlahdenkatu,028,Lastenlehto,1609,680
2021-05-31T15:20:52,2021-05-31T15:43:59,709,Yhdyskunnankuja,095,Munkkiniemen aukio,5795,1384
2021-05-31T15:20:48,2021-05-31T15:39:11,251,Laajasalon ostoskeskus,260,Herttoniemi (M),2278,1099
2021-05-31T15:20:42,2021-05-31T15:32:16,021,Töölönlahdenkatu,060,Kaapelitehdas,2558,689
2021-05-31T15:20:42,2021-05-31T15:25:35,755,Kutsuntatie,731,Leppävaarankäytävä,1447,289
2021-05-31T15:20:14,2021-05-31T15:28:18,116,Linnanmäki,082,Töölöntulli,1709,481
2021-05-31T15:20:10,2021-05-31T15:33:06,075,Korjaamo,113,Pasilan asema,2407,772
